,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Time Date,Hotel Name
0,Buraidah,SA,26.326,43.975,70.25,23,0,3.56,1644330339,22-02-08,OYO 598 Bariq Al Jawhara Hotel
1,Coolum Beach,AU,-26.5333,153.1,70.11,82,0,7.34,1644330339,22-02-08,Element On Coolum Beach
2,Imbituba,BR,-28.24,-48.6703,78.69,49,0,6.4,1644330085,22-02-08,Silvestre Praia Hotel
3,Hātod,IN,22.8,75.7333,70.12,52,0,0.0,1644330356,22-02-08,OYO 15088 Amrit Greens Hotel & Banquets
4,Makakilo City,US,21.3469,-158.0858,71.92,70,0,6.91,1644330363,22-02-08,Embassy Suites by Hilton Oahu Kapolei
5,Lahaina,US,20.8783,-156.6825,72.81,81,0,7.92,1644330365,22-02-08,Hotel Lahaina
6,Santana do Livramento,BR,-30.8908,-55.5328,75.61,35,0,6.46,1644330274,22-02-08,Hotel Girassol
7,Peniche,PT,39.3558,-9.3811,70.88,49,0,7.81,1644330382,22-02-08,Ilhéu 25
8,Ponta do Sol,PT,32.6667,-17.1,70.12,47,0,7.14,1644330382,22-02-08,1905 Zinos Palace
9,São Filipe,CV,14.8961,-24.4956,73.76,69,0,6.89,1644330384,22-02-08,Aparthotel Inacio
10,Bermejo,AR,-32.8833,-68.8,78.71,47,0,3.44,1644330386,22-02-08,Hotel Dial
11,Muros,ES,42.7762,-9.0603,70.68,55,0,4.79,1644330438,22-02-08,Hotel La Muradana
12,Hatta,IN,24.1167,79.6,70.16,22,0,6.91,1644330440,22-02-08,Hatta station 1
13,Vallenar,CL,-28.5708,-70.7581,75.42,45,0,4.72,1644330446,22-02-08,Hotel Cecil
14,Vertientes,CU,21.2594,-78.1464,77.61,66,0,7.85,1644330448,22-02-08,N/A
15,Ubari,LY,26.5921,12.7805,72.57,9,0,9.82,1644330454,22-02-08,N/A
16,Manzanillo,CU,20.3433,-77.1167,77.72,67,0,4.0,1644330456,22-02-08,Hotel Costa Brava
17,Seddon,AU,-37.8068,144.8916,72.21,65,0,6.91,1644330464,22-02-08,Pan Pacific Vancouver
18,San Martín,AR,-33.081,-68.4681,79.34,34,0,4.92,1644330465,22-02-08,"HALL Arts Hotel Dallas, Curio Collection by Hilton"
19,Morón,AR,-34.6534,-58.6198,73.99,53,0,3.8,1644330469,22-02-08,Hotel Haedo
20,George,ZA,-33.963,22.4617,76.55,69,0,5.75,1644330509,22-02-08,Best Western Coffeyville Central Business District Inn And Suites
21,Ibrā’,OM,22.6906,58.5334,73.42,23,0,3.27,1644330514,22-02-08,Golden Rays hotel
